"path","category","extension","lines","bytes","read_status","purpose","primary_symbols","notes"
".env.example","CONFIG",".example","18","737","inventory_readable","see docs/intelligence reports","","current refresh inventory"
".github\dependabot.yml","INFRA",".yml","28","596","inventory_readable","see docs/intelligence reports","","current refresh inventory"
".github\ISSUE_TEMPLATE\bug_report.md","INFRA",".md","24","657","inventory_readable","see docs/intelligence reports","","current refresh inventory"
".github\ISSUE_TEMPLATE\config.yml","INFRA",".yml","8","371","inventory_readable","see docs/intelligence reports","","current refresh inventory"
".github\ISSUE_TEMPLATE\feature_request.md","INFRA",".md","29","754","inventory_readable","see docs/intelligence reports","","current refresh inventory"
".github\PULL_REQUEST_TEMPLATE.md","INFRA",".md","24","996","inventory_readable","see docs/intelligence reports","","current refresh inventory"
".github\workflows\ci.yml","INFRA",".yml","51","1360","inventory_readable","see docs/intelligence reports","","current refresh inventory"
".gitignore","CONFIG",".gitignore","","761","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
".vscode\settings.json","DOC",".json","3","42","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"AGENTS.md","CONFIG",".md","22","1459","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\.claude\settings.json","FRONTEND",".json","5","71","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\.gitignore","FRONTEND",".gitignore","","440","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\AGENTS.md","FRONTEND",".md","2","118","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\app.json","FRONTEND",".json","33","748","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\app\_layout.tsx","FRONTEND",".tsx","","172","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\app\index.tsx","FRONTEND",".tsx","","421","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\assets\adaptive-icon.png","FRONTEND",".png","","17547","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\assets\favicon.png","FRONTEND",".png","","1466","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\assets\icon.png","FRONTEND",".png","","22380","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\assets\splash-icon.png","FRONTEND",".png","","17547","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\CLAUDE.md","FRONTEND",".md","1","11","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\components\verbatim-dom.tsx","FRONTEND",".tsx","","1316","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\metro.config.js","FRONTEND",".js","11","427","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\package.json","FRONTEND",".json","35","921","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\package-lock.json","FRONTEND",".json","10177","387048","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\tsconfig.json","FRONTEND",".json","17","237","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"apps\mobile\types\web-assets.d.ts","FRONTEND",".ts","","24","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"assets\css\00-fonts.css","FRONTEND",".css","1","169","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\css\10-core.css","FRONTEND",".css","2083","49524","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\css\20-assistant.css","FRONTEND",".css","1144","31533","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\css\30-workspace.css","FRONTEND",".css","3027","76600","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\css\40-overrides.css","FRONTEND",".css","6515","169008","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\app\build-app.js","CORE",".js","9305","518534","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\app\dom.js","CORE",".js","19","749","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\app\events.js","CORE",".js","13","773","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\app\state.js","CORE",".js","49","2055","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\features\assistant.js","CORE",".js","16","505","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\features\capture.js","CORE",".js","16","450","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\features\diagnostics.js","CORE",".js","16","422","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\features\export.js","CORE",".js","17","399","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\features\file-transcription.js","CORE",".js","16","436","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\features\memory.js","CORE",".js","16","396","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\features\providers.js","CORE",".js","18","527","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\features\transcript.js","CORE",".js","17","481","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\features\translation.js","CORE",".js","16","487","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\features\ui-shell.js","CORE",".js","17","488","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\features\workspace.js","CORE",".js","16","479","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\main.js","DOC",".js","7","237","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\runtime\capabilities.js","CORE",".js","61","3184","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\runtime\request-timeout.js","CORE",".js","67","2557","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"assets\js\runtime\workspace-validation.js","CORE",".js","119","4843","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"CHANGELOG.md","DOC",".md","28","1782","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"CODE_OF_CONDUCT.md","DOC",".md","89","5122","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"CONTRIBUTING.md","DOC",".md","55","2464","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\api\provider-integrations.md","DOC",".md","97","11030","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\architecture\architecture.md","DOC",".md","116","12677","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\architecture\client-api-boundary.md","DOC",".md","187","18905","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\architecture\data-layer.md","DOC",".md","159","18754","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\architecture\discovery.md","DOC",".md","322","15003","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\architecture\features.md","DOC",".md","42","4142","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\architecture\frontend.md","DOC",".md","286","31863","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\architecture\knowledge-graph.md","DOC",".md","454","58712","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\architecture\overview.md","DOC",".md","42","2683","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\architecture\README.md","DOC",".md","25","1306","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\archive\plan.md","DOC",".md","0","0","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\features\README.md","DOC",".md","20","1454","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\guides\live-translate.md","DOC",".md","226","12826","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\DEVICE_TEST_MATRIX.md","DOC",".md","14","937","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\MOBILE_RESEARCH_SOURCES.md","DOC",".md","9","1550","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\MOBILE_UI_AUDIT.md","DOC",".md","51","4786","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\MOBILE_UI_PLAN.md","DOC",".md","39","2478","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\MOBILE_VERIFICATION_REPORT.md","DOC",".md","42","2566","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\OPERATION_LOG.md","DOC",".md","31","2604","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\RESPONSIVE_LAYOUT_MATRIX.md","DOC",".md","30","2394","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\SCREENSHOT_MANIFEST.md","DOC",".md","50","1538","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\.gitkeep","DOC",".gitkeep","","1","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1024x768-api-panel-open.png","DOC",".png","","143711","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1024x768-assistant-input-focus.png","DOC",".png","","128264","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1024x768-assistant-open.png","DOC",".png","","128277","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1024x768-export.png","DOC",".png","","92483","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1024x768-record.png","DOC",".png","","179022","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1024x768-sidebar-static-controls-inline.png","DOC",".png","","179021","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1024x768-transcript.png","DOC",".png","","70263","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1024x768-transcript-input-focus.png","DOC",".png","","70261","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1024x768-translation.png","DOC",".png","","73816","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1366x768-api-panel-open.png","DOC",".png","","209404","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1366x768-assistant-input-focus.png","DOC",".png","","144553","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1366x768-assistant-open.png","DOC",".png","","144628","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1366x768-export.png","DOC",".png","","101716","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1366x768-record.png","DOC",".png","","172194","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1366x768-sidebar-static-controls-inline.png","DOC",".png","","172189","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1366x768-transcript.png","DOC",".png","","71461","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1366x768-transcript-input-focus.png","DOC",".png","","71462","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1366x768-translation.png","DOC",".png","","74917","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1920x1080-api-panel-open.png","DOC",".png","","265286","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
